x,y
250922.0,6708868.0
418056.1666666666,6741026.166666666
381841.0,6710295.333333333
390612.5,6678924.0
323943.2,6818136.600000001
266594.0,6950471.0
320330.6666666666,6740238.333333333
382438.5,6682963.5
258039.5,6792742.5
306944.5,6756830.0
264363.0,6706633.0
233556.0,6811880.0
330001.6666666666,6726639.333333333
380943.5,6687562.333333333
249362.0,6798844.0
347813.4,6688105.4
274164.0,6706269.0
329859.0,6800767.5
249572.0,6984064.0
260803.0,6707422.0
259204.0,6971395.0
277022.6666666666,6706679.666666666
276189.8,6781992.800000001
334468.3333333333,6786098.0
376326.5714285714,6733283.714285714
445689.5,6816153.0
394926.3333333333,6686840.666666666
396931.6666666666,6703528.333333333
223142.0,6825813.0
267881.0,6949224.0
318678.80000000005,6819971.4
265022.0,6790202.0
335886.75,6785068.5
366793.75,6679336.25
212722.5,6835927.0
414235.0,6732079.0
382932.0,6681293.5
282222.3333333333,6705502.0
238339.80000000002,6807444.800000001
353359.5,6701718.0
407558.0,6724687.0
324372.0,6697702.0
380120.5,6722865.5
396867.5,6701455.5
352830.0,6686998.0
297384.71428571426,6841818.428571428
245179.40000000002,6707442.2
446772.0,6811788.666666666
351736.5,6774729.0
256173.0,6794069.0
400700.0,6714993.333333333
442342.0,6776469.0
296261.5,6848261.5
381784.6666666666,6706693.0
228532.8333333333,6818988.666666666
321310.5,6738985.0
343046.3333333333,6719456.666666666
352458.0,6694334.0
326942.0,6815183.333333333
345469.0,6688313.0
328755.0,6803863.0
358619.5,6685420.5
318867.0,6742314.0
396025.3333333333,6693204.5
293214.0,6891774.0
376072.80000000005,6735124.4
353062.8333333333,6690600.833333333
253987.0,6709527.0
379775.0,6726131.0
449298.0,6804790.0
280187.0,6937731.0
239326.3333333333,6997345.0
364986.0,6759306.0
394728.6666666666,6685970.333333333
408658.0,6726248.5
412553.6666666666,6729876.333333333
367564.0,6753740.0
381217.0,6675996.0
313071.0,6698885.0
323961.0,6734106.0
297565.0,6699078.0
235896.5,6999132.5
448940.5,6808458.5
247513.5,6800047.5
307925.25,6755681.0
379309.0,6694692.666666666
288485.0,6704128.333333333
375715.0,6739176.0
232172.0,7004599.0
425833.0,6755441.0
449213.0,6797180.666666666
352423.0,6697740.25
249458.0,6987025.0
327317.0,6816262.333333333
351130.1666666666,6708429.666666666
368011.0,6752344.25
302368.0,6762552.0
360303.5,6683889.5
209659.0,6840031.0
257078.0,6977959.0
286239.0,6864224.0
251209.0,6797595.0
382202.4285714285,6684128.142857143
409960.0,6727358.0
267192.5,6789481.75
361377.3333333333,6766176.666666666
217792.0,6831019.333333333
402526.0,6717678.0
363671.3333333333,6761057.0
376804.6666666666,6730979.333333333
330267.0,6791747.666666666
298200.75,6765363.0
258740.66666666666,6708586.666666666
300972.5,6837108.5
327147.75,6818481.75
330197.0,6795777.0
252364.0,6981623.0
277717.0,6940696.5
396765.5,6698809.5
377820.5,6676599.5
365825.0,6680649.0
341753.0,6781994.0
383602.80000000005,6676571.4
280706.75,6776615.5
257723.0,6976881.5
214376.5,6834253.5
230533.66666666666,6816123.0
252614.0,6709465.0
242385.5,6709447.0
373581.5,6744148.0
327164.0,6813724.600000001
327764.5,6817850.0
219759.0,6829218.5
440934.2222222222,6774092.111111111
395474.0,6687966.0
234879.0,6999610.0
320435.25,6818101.25
329101.0,6798859.0
357229.0,6686146.0
224537.0,6823965.5
328421.75,6810437.75
233104.0,7002243.0
279584.5,6778043.0
317338.6666666666,6824502.333333333
210696.0,6838994.0
444550.0,6779728.0
348185.0,6776212.333333333
448637.0,6800119.0
380692.0,6688387.5
255024.5,6709275.0
244041.40000000002,6802467.0
289451.5,6769645.5
382042.6666666666,6675904.0
231576.0,6814712.5
350134.4,6710374.4
318379.0,6697253.0
